doy,clim_mean,clim_q10,clim_q90,clim_q01,clim_q99
1,4.782432432432432,-2.29,10.389999999999997,-5.924000000000001,13.728
2,4.097297297297297,-1.9000000000000004,8.07,-6.728,14.580000000000002
3,4.309459459459459,-2.35,12.339999999999998,-5.352,14.988000000000001
4,4.620270270270271,-2.29,14.639999999999999,-4.196000000000001,16.22
5,3.8635135135135137,-3.040000000000001,10.989999999999998,-7.572000000000001,15.136000000000001
6,3.664864864864865,-1.78,9.84,-7.796,16.358000000000004
7,2.6851351351351354,-3.5,9.479999999999997,-9.876,14.712
8,2.2513513513513512,-3.9000000000000004,7.419999999999999,-7.659999999999999,16.746000000000002
9,3.077027027027027,-2.6400000000000006,9.52,-6.164,13.358
10,3.2783783783783784,-3.3600000000000003,8.78,-7.420000000000002,11.996
11,3.217567567567568,-2.43,7.469999999999999,-6.248000000000001,12.886000000000003
12,5.109459459459459,-0.24,10.18,-3.542,17.512
13,5.418918918918919,0.04999999999999988,11.139999999999997,-3.3760000000000003,14.31
14,3.563513513513514,-1.7999999999999998,10,-4.228000000000001,15.704000000000002
15,2.402702702702703,-2.4400000000000004,7.539999999999999,-8.904,15.71
16,2.2824324324324325,-4.49,8.62,-10.806000000000001,10.532
17,2.3108108108108105,-4.1000000000000005,7.2,-7.96,10.544
18,2.272972972972973,-6.9,8.6,-7.8,13.608000000000002
19,1.8864864864864865,-6.12,7.09,-13.356,8.676
20,1.9554054054054055,-3.4000000000000004,7.859999999999999,-8.372000000000002,9.91
21,0.4081081081081082,-5.080000000000001,6.059999999999999,-9.028,10.972000000000001
22,0.5648648648648648,-6,7.049999999999999,-8.3,11.120000000000001
23,2.07027027027027,-5.74,7.92,-7.62,14.532
24,3.0432432432432432,-4.42,9.34,-7.983999999999999,11.681999999999999
25,2.2932432432432432,-3.41,9.76,-7.8,12.892000000000003
26,2.1608108108108106,-2.22,7.169999999999999,-6.408000000000001,15.644000000000004
27,2.539189189189189,-3.95,8.26,-6.304,12.098
28,2.945945945945946,-3.9,8.86,-6.763999999999999,11.1
29,2.918918918918919,-2.77,8.839999999999998,-7.366,13.504000000000001
30,3.1,-4.0600000000000005,9.659999999999998,-7.648000000000001,17.706
31,2.345945945945946,-3.4000000000000004,9.1,-8.746,10.698
32,3.004054054054054,-2.7300000000000004,9.42,-6.380000000000001,15.582
33,3.645833333333333,-2.6500000000000004,7.9750000000000005,-4.0625,13.249999999999993
34,3.551351351351351,-0.9200000000000004,9.280000000000001,-6.664000000000001,11.7
35,3.9648648648648646,-0.7100000000000004,10.739999999999998,-8.624,12.878
36,3.3041666666666667,-3.4749999999999996,9.100000000000001,-9.6925,12.917499999999999
37,3.104054054054054,-3.6,8.779999999999998,-8.396,15.836000000000004
38,4.041891891891892,-3.6000000000000005,9.940000000000001,-5.492,12.444000000000003
39,3.7864864864864862,-2.3200000000000003,10.42,-6.248000000000001,15.292000000000002
40,3.6054054054054054,-2.6400000000000006,10.919999999999998,-4.0600000000000005,12.756
41,4.032432432432432,-1.7700000000000005,9.64,-5.57,14.356000000000002
42,4.1,-2.66,10.6,-4.162000000000001,13.620000000000001
43,3.3013513513513515,-1.9000000000000004,10.459999999999997,-4.556,13.012
44,2.628378378378378,-2.24,6.819999999999999,-4.811999999999999,8.912
45,4.060810810810811,-0.8600000000000001,9.219999999999999,-5.784000000000001,14.848000000000003
46,3.977777777777778,-1.725,9.7,-6.6,12.559999999999999
47,4.579166666666667,-3.45,11.25,-8.715,15.832499999999994
48,3.7444444444444445,-2.225,9.45,-5.845000000000001,13.677499999999997
49,4.008333333333333,-1.8249999999999997,10,-3.7974999999999994,16.877499999999998
50,4.670833333333333,-3.625,11.125,-7.1625,15.417499999999997
51,5.416666666666667,-0.525,12.8,-7.834999999999999,14.524999999999999
52,6.043055555555556,0.1,11.925,-5.1899999999999995,17.692499999999992
53,6.3069444444444445,0.4000000000000001,11.524999999999999,-2.915,15.109999999999998
54,6.273611111111111,1.6749999999999998,13.05,-2.3374999999999995,17.219999999999995
55,5.769444444444445,0,11.825,-4.75,16.584999999999997
56,5.697222222222222,0.3,11,-3.795,17.025
57,5.145833333333334,0.02499999999999991,11,-4.81,12.722499999999998
58,5.729166666666667,-0.2,12.5,-3.6824999999999997,16.084999999999994
59,6.295833333333333,-1.275,12.225,-4.37,14.614999999999998
60,5.995833333333334,0.9499999999999998,11.299999999999999,-1.48,16.179999999999996
61,7.080555555555556,0.8499999999999999,13.174999999999999,-2.5349999999999997,16.862499999999997
62,6.233333333333333,0.5,11.3,-4.2924999999999995,15.912499999999996
63,4.6819444444444445,-1.125,12.149999999999999,-13.565,13.927499999999998
64,6.508333333333334,0.55,13.2,-0.12999999999999998,16.624999999999996
65,6.751388888888889,0.15,11.675,-4.2524999999999995,17.025
66,7.4013888888888895,0.05,13.3,-2.4025,19.559999999999995
67,7.901388888888889,2.7750000000000004,13.025,-1.1324999999999998,17.052499999999995
68,8.186111111111112,0.975,15.3,-3.825,19.124999999999996
69,8.03888888888889,0.8500000000000001,15.150000000000002,-3.4574999999999996,19.2575
70,8.722222222222221,2.25,15.950000000000001,-1.6500000000000001,18.384999999999998
71,8.369444444444444,2.925,15.825,-0.8949999999999999,20.817499999999995
72,8.194444444444445,1.25,14.149999999999999,-1.295,21.1925
73,8.730555555555556,2.5,15.774999999999999,-2.8049999999999997,21.159999999999997
74,9.373611111111112,4.300000000000001,17.775,-3.7350000000000003,20.874999999999996
75,9.901388888888889,2.925,17.225,0.855,21.429999999999996
76,8.783333333333333,1.9749999999999999,14.9,-1.365,17.007499999999997
77,8.8,2.9,15.3,-1.5149999999999997,17.695
78,8.677777777777777,4.4,14.675,-1.0299999999999998,17.272499999999994
79,8.651388888888889,4.35,15.225000000000001,2.855,18.027499999999996
80,9.041666666666666,4.025,14.15,1.2025000000000001,19.677500000000002
81,9.572222222222223,4.025,14.725,0.8700000000000006,17.0175
82,8.695833333333333,4,15.275,1.98,20.002499999999998
83,9.158333333333333,3.9,14.299999999999999,2.0675,20.582499999999996
84,9.434722222222222,4.875,15.45,1.7625000000000002,17.23
85,10.090277777777779,5.35,15.55,1.375,20.529999999999998
86,10.188888888888888,4.9,16.4,1.7650000000000001,19.612499999999997
87,10.868055555555555,5.0249999999999995,17.2,2.4000000000000004,20.6575
88,12.006944444444445,5.425,16.924999999999997,1.3200000000000003,21.177499999999995
89,11.625,6.95,17.450000000000003,4.8375,22.177500000000002
90,11.35138888888889,6.1,16.05,3.6149999999999998,22.825
91,11.947222222222223,8.325,15.975,5.62,19.8125
92,12.144444444444444,7.675000000000001,17.925,4.4725,20.759999999999998
93,12.490277777777777,7.75,17.575,4.970000000000001,19.33
94,12.606944444444444,7.225,19.4,4.3425,21.519999999999996
95,12.23611111111111,6.4,18.875,4.285,22.012499999999996
96,12.229166666666666,6.125,17.6,4.61,23.8725
97,12.413888888888888,6.1,18.775,3.2675,23.65
98,12.676388888888889,7.025,18.799999999999997,3.3475,21.1575
99,12.53888888888889,6.25,20.15,4.15,23.339999999999996
100,12.855555555555556,6.75,17.875,4.2875,22.234999999999992
101,13.493055555555555,8.2,20.2,4.865,23.409999999999997
102,14.279166666666667,9.4,19.6,7.4225,21.49
103,14.92361111111111,9.6,20.6,6.977499999999999,22.095
104,14.769444444444444,8.75,21.85,7.942500000000001,23.925
105,14.920833333333334,10.25,19.85,7.6049999999999995,23.304999999999996
106,15.152777777777777,10.25,21.825,5.6825,25.294999999999998
107,14.625,9.025,20.700000000000003,7.475,25.912499999999994
108,14.202777777777778,8.024999999999999,19.45,6.3100000000000005,24.629999999999995
109,15.4625,9.7,22.075,7.845000000000001,23.332499999999996
110,16.09027777777778,10.5,21.799999999999997,9.07,23.909999999999997
111,15.677777777777777,10.675,20.875,9.25,22.557499999999997
112,15.352777777777778,10.4,19.7,7.0225,22.765
113,15.044444444444444,10.725,20.275,9.735,22.695
114,15.443055555555555,10.7,21.674999999999997,7.9750000000000005,22.025
115,16.166666666666668,11.7,20.8,10.774999999999999,21.700000000000003
116,16.15138888888889,12.625,22.125,10.6875,25.002499999999998
117,16.48611111111111,11.75,23.049999999999997,9.5225,25.802500000000002
118,15.83611111111111,11.25,22.375,9.7125,24.222499999999997
119,15.325000000000001,11.5,19.55,10.372499999999999,25.139999999999997
120,16.8125,13,22.5,10.899999999999999,25.38
121,17.355555555555554,13.350000000000001,21.35,11.807500000000001,23.6
122,18.0125,12.6,22.875,10.965,25.607499999999998
123,18.370833333333334,14.025,23.9,10.5775,24.895000000000003
124,17.683333333333334,12.375,22.325,11.504999999999999,24.874999999999996
125,17.4875,12.7,22.325,11.485,23.794999999999998
126,17.056944444444444,13.175,22,11.77,23.9
127,16.926388888888887,12.149999999999999,20.725,10.8175,24.019999999999996
128,17.569444444444446,11.825,22.575,9.7675,25.119999999999997
129,17.968055555555555,13.575,21.85,11.675,26.2975
130,18.252777777777776,14.35,22.3,9.120000000000001,25.575
131,18.393055555555556,13.625,23.9,10.362499999999999,24.33
132,18.615277777777777,13.5,23.15,12.305,26.065
133,17.418055555555554,12.575,23.299999999999997,10.49,25.91
134,17.880555555555556,14.2,22.525,11.322500000000002,25.582500000000003
135,19.470833333333335,16.65,22.1,13.0175,25.9075
136,19.834722222222222,15.125,23.299999999999997,13.145,25.18
137,19.197222222222223,14.425,24.125,11.405000000000001,24.79
138,18.768055555555556,13.75,23.65,12.2775,26.709999999999997
139,19.163888888888888,14.45,25.25,12.3825,26.665000000000003
140,19.601388888888888,15.849999999999998,24.7,11.3975,26.6325
141,18.865277777777777,14.725,23.549999999999997,12.1675,28.127499999999998
142,19.49861111111111,15.075,24.55,12.8,27.507499999999997
143,20.09027777777778,15.725,24.375,13.17,27.684999999999995
144,20.809722222222224,16.6,25.275,14.7575,27.529999999999998
145,21.272222222222222,17.4,25,12.94,27.395
146,21.483333333333334,17.8,25.975,13.504999999999999,27.917499999999997
147,21.45138888888889,16.275,25.825000000000003,12.6125,28.127499999999998
148,21.261111111111113,15.825000000000001,25.35,13.6475,28.004999999999995
149,21.3625,15.3,25.7,13.704999999999998,29.175
150,21.908333333333335,17.475,26.875,12.2775,29.527499999999996
151,22.308333333333334,15.825,27.275,14.610000000000001,30.91
152,22.706944444444446,17.25,27.65,15.71,30.217499999999998
153,22.731944444444444,17.5,26.3,16.575,27.025
154,21.47361111111111,17.9,24.6,14.117500000000001,27.22
155,21.413888888888888,17.575,24.85,15.577499999999999,26.595
156,22.080555555555556,18.25,26.075000000000003,16.2925,28.125
157,22.290277777777778,18.175,26.25,15.7425,27.025
158,22.633333333333333,18.65,26.674999999999997,15.385,29.4325
159,23.719444444444445,19.4,27.924999999999997,17.4575,30.715
160,24.211111111111112,21,27.799999999999997,18.4825,31.834999999999997
161,24.180555555555557,20.700000000000003,27.2,16.9475,29.792499999999997
162,24.416666666666668,20.674999999999997,27.65,18.17,29.1525
163,24.352777777777778,20,27.9,18.880000000000003,29.16
164,24.49861111111111,20.700000000000003,28.450000000000003,18.880000000000003,29.224999999999998
165,23.95,19.925,28.325,18.555,29.825
166,24.175,20.85,27.65,19.090000000000003,30.387499999999996
167,24.194444444444443,21.125,26.975,19.300000000000004,30.64
168,24.370833333333334,20.9,27.9,17.585,29.0275
169,24.895833333333332,20.975,28.475,19.284999999999997,29.987499999999997
170,24.994444444444444,21.15,28.825000000000003,19.6425,30.165
171,24.804166666666667,20.15,27.799999999999997,17.47,29.314999999999998
172,24.919444444444444,20.25,28.35,18.51,29.7025
173,25.120833333333334,21.65,29.05,17.335,31.05
174,24.95138888888889,20.7,29.700000000000003,17.575000000000003,31.084999999999997
175,25.56388888888889,22.2,28.450000000000003,19.545,32.265
176,26.145833333333332,23.2,28.45,22.197499999999998,30.4975
177,26.425,24.424999999999997,28.9,22.25,29.365
178,25.891666666666666,23.275,28.5,22.2175,30.269999999999996
179,25.84861111111111,22.700000000000003,28.75,20.595,29.345
180,26.21388888888889,23.450000000000003,28.9,22.605,30.165
181,26.434722222222224,23.5,28.9,22.975,31.8475
182,26.083333333333332,23.6,28.55,22.7675,30.254999999999995
183,25.849999999999998,22.775,28.9,19.88,30.89
184,26.225,22.775,29.15,20.595000000000002,31.595
185,26.791666666666668,23.625,30.15,21.787499999999998,31.815
186,26.770833333333332,24,30,20.655,32.33749999999999
187,27.147222222222222,23.475,29.7,21.695,33.3225
188,27.31111111111111,24.4,30.575000000000003,21.875,32.69499999999999
189,26.990277777777777,23.175,31.125,22.41,33.394999999999996
190,26.95,23.6,30,21.160000000000004,31.7575
191,26.918055555555554,24.174999999999997,30,22.78,32.01
192,26.790277777777778,24.15,29.95,22.8,31.442500000000003
193,26.518055555555556,23.05,29.025,21.37,30.357499999999998
194,26.620833333333334,23.35,29.424999999999997,20.2175,31.1325
195,26.834722222222222,23.450000000000003,29.6,21.875,30.4625
196,27.331944444444446,24.4,30.025,23.615000000000002,31.4575
197,27.76388888888889,24.65,30.275,23.185000000000002,31.92
198,27.71527777777778,25.05,29.85,23.65,31.739999999999995
199,27.955555555555556,24.6,30.575000000000003,23.8675,32.245000000000005
200,27.979166666666668,25.3,30.950000000000003,22.605,32.01
201,27.770833333333332,24.549999999999997,31.05,22.585,31.73
202,27.809722222222224,24.3,31.799999999999997,22.085,32.49
203,27.243055555555557,23.875,29.95,21.092499999999998,32.637499999999996
204,26.959722222222222,23.9,30.525,21.755000000000003,33.00749999999999
205,26.691666666666666,24.35,29.424999999999997,20.622500000000002,32.662499999999994
206,26.504166666666666,23.75,29.575,21.457500000000003,31.167499999999997
207,26.431944444444444,23.15,28.85,20.9675,31.555
208,27.00138888888889,23.6,30.325,21.37,31.012500000000003
209,27.4125,23.875,30.450000000000003,22.4975,30.9
210,26.870833333333334,23.2,30.125,20.072499999999998,32.5625
211,26.5375,23.325000000000003,29.85,22.0025,31.107499999999998
212,26.84861111111111,24.4,29.9,23.65,31.8625
213,26.493055555555554,23.65,29.725,22.655,31.595
214,26.883333333333333,23.450000000000003,30,22.5825,31.6525
215,26.97361111111111,23.75,30.175,22.425,32.47
216,27.193055555555556,24.65,29.95,23.6,30.744999999999997
217,26.454166666666666,24.4,29.475,22.247500000000002,30.64
218,25.7,22.675,28.450000000000003,19.7275,30.362499999999997
219,25.654166666666665,22.2,29.575,20.0875,30.582500000000003
220,26.256944444444443,23.025,29.15,20.770000000000003,32.029999999999994
221,26.170833333333334,23.45,29.3,21.310000000000002,30.715
222,26.21388888888889,23.325000000000003,29.299999999999997,22.5,30.582500000000003
223,26.569444444444443,25.1,28.475,23.4925,30.699999999999996
224,26.544444444444444,23.950000000000003,29,22.5875,30.365
225,26.697222222222223,23.75,30.575000000000003,21.07,31.165
226,26.13888888888889,22.8,29.45,20.7425,32.06
227,25.947222222222223,22.150000000000002,29.025,20.385,32.029999999999994
228,26.00138888888889,22.65,28.75,19.475,31.4625
229,26.6875,24.1,29.75,20.11,31.9525
230,26.206944444444446,23.200000000000003,29.6,21.1,31.349999999999998
231,25.6375,21.424999999999997,28.199999999999996,20.635,30.68
232,25.377777777777776,21.4,28.725,20,29.755
233,25.197222222222223,21.35,28.175,19.6425,29.0625
234,24.941666666666666,21,28.324999999999996,20.104999999999997,29.224999999999998
235,24.47361111111111,21.4,26.950000000000003,20.8175,29.224999999999998
236,25.016666666666666,22.375,27.65,20.8475,29.095
237,25.418055555555554,22.775,28.475,22.0725,29.7025
238,25.629166666666666,23.025,27.924999999999997,21.590000000000003,29.81
239,25.844444444444445,22.55,27.85,21.310000000000002,29.5075
240,26.134722222222223,23.225,29,20.985000000000003,29.7825
241,25.918055555555554,22.65,29.450000000000003,19.0925,30.609999999999996
242,25.229166666666668,20.85,28.475,19.61,30.0925
243,25.205555555555556,20.950000000000003,28.450000000000003,20.1925,29.7425
244,24.641666666666666,20.275,28.375,17.605,29.8075
245,24.386111111111113,20.700000000000003,28.65,16.8,29.377499999999998
246,24.634722222222223,21.5,27.975,20.1525,30.202499999999997
247,24.905555555555555,21.725,28,18.375,30.09
248,24.595833333333335,20.3,28.125,19.005,30.435
249,24.033333333333335,20.125,28.200000000000003,18.080000000000002,30.055
250,23.881944444444446,20.549999999999997,27.75,17.9875,30.257499999999997
251,23.705555555555556,20.4,27.275000000000002,18.545,28.4575
252,23.504166666666666,19.174999999999997,26.375,18.235,28.495
253,23.541666666666668,20,26.049999999999997,17.99,29.68
254,23.05,19.175,26.35,17.9925,29.224999999999998
255,22.831944444444446,19.475,26.549999999999997,18.51,28.16
256,23.043055555555554,21.025,25.275,18.1375,27.345
257,23.156944444444445,18.375,26.7,17.799999999999997,28.32
258,22.994444444444444,18.775,27.25,16.98,28.4075
259,22.081944444444446,18.1,26.4,14.552499999999998,29.095000000000002
260,21.229166666666668,16.85,25.575000000000003,14.9225,28.769999999999996
261,21.490277777777777,17.3,24.4,14.475,26.834999999999997
262,21.7,18.6,24.799999999999997,16.5325,25.955
263,21.295833333333334,16.675,25.25,15.5175,26.6525
264,20.913888888888888,16.15,24.15,14.802500000000002,26.814999999999998
265,21.5,16.4,25.099999999999998,14.145,26.919999999999998
266,20.95,16.375,26.275,13.767500000000002,27.694999999999997
267,20.17361111111111,16.35,25,13.540000000000001,28.544999999999998
268,20.26388888888889,16.525000000000002,23.6,13.9425,28.0225
269,20.025,15.425,24.675,13.137500000000001,25.4625
270,20.49861111111111,16.975,24.3,11.9475,27.695
271,20.365277777777777,15.7,23.75,14.0425,24.595000000000002
272,19.87361111111111,16.125,23.2,15.03,26.189999999999998
273,17.680555555555557,13.875,22.65,-7.579999999999997,24.334999999999997
274,17.958333333333332,13.850000000000001,21.450000000000003,11.504999999999999,23.4525
275,18.25,12.55,23.25,9.6575,26.804999999999996
276,18.697222222222223,12.45,23.75,9.5225,25.86
277,19.25,13.625,24.299999999999997,11.0075,25.302500000000002
278,18.59027777777778,13.45,23.450000000000003,10.594999999999999,25.325
279,18.391666666666666,13.600000000000001,23.900000000000002,11.232500000000002,25.347499999999997
280,18.483333333333334,12.05,23.65,10.9675,25.522499999999997
281,17.5375,11.825,22.9,9.7575,26.294999999999998
282,17.977777777777778,12.725,24.15,9.61,27.559999999999995
283,17.92638888888889,13.75,23.625,9.6375,25.82
284,17.3625,13.725,21.25,10.399999999999999,24.874999999999996
285,16.694444444444443,12.75,20.05,11.6675,22.75
286,16.59583333333333,13.175,20.025000000000002,9.3875,23.544999999999995
287,16.241666666666667,11.8,20.85,9.642499999999998,22.682499999999997
288,16.31388888888889,12.899999999999999,20.55,8.9275,23.0225
289,15.640277777777778,12.65,19.325,8.15,22.759999999999998
290,15.152777777777777,11.55,19.75,8.075,22.22
291,14.7375,10.4,19.55,7.9399999999999995,21.904999999999998
292,14.654166666666667,10.25,18.450000000000003,8.185,20.9075
293,14.875,10.55,18.875,7.824999999999999,21.952499999999997
294,14.5875,11.4,18.325000000000003,6.452500000000001,22.469999999999995
295,14.558333333333334,11.25,19.35,8.370000000000001,20.9075
296,14.431944444444445,9.600000000000001,20,7.2275,22.744999999999994
297,14.166666666666666,9,18.625,7.99,22.284999999999997
298,14.163888888888888,9,19.4,7.635,21.197499999999998
299,13.929166666666667,9.6,18.9,8.235,19.8825
300,13.968055555555555,10.5,19.025,7.8,22.145
301,13.526388888888889,8.175,18.175,7.8,21.434999999999995
302,12.723611111111111,8.075,17.725,4.6975,20.537499999999994
303,12.434722222222222,9.425,15.899999999999999,5.397500000000001,18.662499999999994
304,13.536111111111111,7.625,18.575000000000003,6.31,20.377499999999998
305,13.813888888888888,8.8,18.35,6.842500000000001,21.64
306,12.993055555555555,7.675,18.775,5.904999999999999,21.0175
307,12.005555555555556,7.3,17.375,5.1325,19.79
308,11.343055555555555,6.074999999999999,16.225,2.8549999999999995,19.755
309,11.818055555555555,6.525,16.924999999999997,2.9875000000000007,21.924999999999997
310,12.38888888888889,7.05,18.900000000000002,5.2225,21.08
311,11.581944444444444,7.075,17.4,4.805,22.29
312,11.166666666666666,5.824999999999999,15.825,5,21.494999999999994
313,11.104166666666666,5.1000000000000005,16.4,2.9425,18.869999999999997
314,10.97638888888889,5.55,16.1,3.9875000000000003,17.8
315,10.268055555555556,5.975,16.525,1.4525000000000001,18.11
316,10.48611111111111,5.824999999999999,16.799999999999997,3.1849999999999996,20.455
317,9.591666666666667,3.625,13.875,0.8750000000000002,16.645
318,9.441666666666666,3.875,15.274999999999999,1.3175,18.215
319,9.875,4.375,15.975,2.1925,20.362499999999994
320,10.276388888888889,4.3,15.575,2.1425,17.1125
321,8.902777777777779,3.575,13.425,1.9475,15
322,8.469444444444445,4.6,12.35,1.875,16.444999999999997
323,8.902777777777779,4.300000000000001,13.899999999999999,-0.24499999999999955,17.025
324,9.091666666666667,4.7,14.149999999999999,1.1150000000000002,17.724999999999998
325,9.027777777777779,4.875,14.149999999999999,2.4450000000000003,18.992499999999996
326,9.019444444444444,2.55,13.850000000000001,1.31,16.9225
327,8.094444444444445,1.6500000000000001,14.875,-0.5425,16.369999999999997
328,7.945833333333334,2.925,12.5,0.34,16.944999999999997
329,8.016666666666667,2.625,14.45,-1.5599999999999998,16.919999999999998
330,8.61111111111111,3.625,13.75,1.9475,16.104999999999997
331,8.820833333333333,4.0249999999999995,14.149999999999999,2.2475,14.895
332,8.734722222222222,2.35,13.925,1.135,17.2325
333,7.9375,2.125,13.475000000000001,-0.5024999999999998,16.012500000000003
334,7.481944444444444,3.05,13.175,1.4850000000000003,16.639999999999997
335,7.579166666666667,3.45,15,0.21000000000000005,16.402499999999996
336,7.179166666666666,3.25,10.899999999999999,2.2474999999999996,12.959999999999997
337,7.151388888888889,2.125,11.8,0.21000000000000005,13.23
338,6.804166666666667,1.8,12.375,-2.53,16.864999999999995
339,6.454166666666667,0.675,15.100000000000001,-1.71,17.932499999999997
340,6.305555555555555,0.825,13.725000000000001,-1.6524999999999999,18.304999999999996
341,5.330555555555556,-0.125,10.25,-1.815,18.639999999999993
342,4.631944444444445,-0.024999999999999994,9.850000000000001,-2.0075000000000003,13.69
343,4.868055555555555,-0.675,9.375,-2.63,14.319999999999997
344,5.231944444444444,0.975,9.825,-3.1024999999999996,11.899999999999997
345,5.538888888888889,0.9,10.75,-3.0874999999999995,13.794999999999998
346,5.226388888888889,0.75,10.075,-1.815,12.7525
347,5.179166666666666,1.6653345369377348e-16,10.649999999999999,-2.3099999999999996,13.447500000000002
348,5.188888888888889,0.15,10.674999999999999,-4.7775,15.925
349,5.338888888888889,1.4000000000000001,10.15,-4.385,14.802499999999991
350,5.290277777777778,0.1,9.350000000000001,-3.1724999999999994,12.219999999999999
351,5.0472222222222225,0.75,9.45,-4.132499999999999,13.639999999999992
352,5.658333333333333,0.95,11.225000000000001,-1.1024999999999998,14.4225
353,4.759722222222222,-0.27499999999999997,9.825,-2.7824999999999998,11.329999999999998
354,3.9111111111111114,-0.275,9.15,-2.01,10.4975
355,4.305555555555555,-0.85,10.024999999999999,-6.609999999999999,14.93
356,5.058333333333334,0.27500000000000013,11.55,-2.8,16.72249999999999
357,5.694444444444445,-0.25,12.5,-5.147500000000001,16.889999999999997
358,4.259722222222222,-2.5,8.4,-8.504999999999999,15.369999999999987
359,4.0680555555555555,-1.7,10.4,-4.75,15.97499999999999
360,3.6652777777777774,-1.7,8.2,-4.225,14.365
361,3.1486111111111112,-2.1500000000000004,7.975,-4.72,12.727499999999996
362,4.113888888888889,-2.075,10.2,-5.6525,12.889999999999999
363,5.325,-1.6500000000000001,9.825,-4.6875,13.817499999999994
364,5.127777777777777,-2.2,11.7,-4.2575,15.4475
365,4.658333333333333,-2.25,11.3,-5.905,12.145
366,6.266666666666667,0.8800000000000001,11.409999999999998,-1.892,13.606
